"filename", "language", "vue", "TypeScript React", "TypeScript", "SCSS", "CSS", "XML", "comment", "blank", "total"
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\App.vue", "vue", 16, 0, 0, 0, 0, 0, 0, 5, 21
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\api\config.ts", "TypeScript", 0, 0, 6, 0, 0, 0, 1, 4, 11
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\api\login\index.ts", "TypeScript", 0, 0, 21, 0, 0, 0, 3, 4, 28
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\api\login\types\login.ts", "TypeScript", 0, 0, 8, 0, 0, 0, 3, 4, 15
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\api\request.ts", "TypeScript", 0, 0, 18, 0, 0, 0, 0, 7, 25
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\assets\error-page\403.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\assets\error-page\404.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\components\Notify\NotifyList.vue", "vue", 57, 0, 0, 0, 0, 0, 0, 4, 61
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\components\Notify\data.ts", "TypeScript", 0, 0, 63, 0, 0, 0, 0, 4, 67
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\components\Notify\index.vue", "vue", 93, 0, 0, 0, 0, 0, 0, 7, 100
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\components\Screenfull\index.vue", "vue", 57, 0, 0, 0, 0, 0, 0, 9, 66
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\components\SvgIcon\index.vue", "vue", 27, 0, 0, 0, 0, 0, 0, 5, 32
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\components\ThemeSwitch\index.vue", "vue", 31, 0, 0, 0, 0, 0, 0, 4, 35
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\config\async-route.ts", "TypeScript", 0, 0, 9, 0, 0, 0, 10, 3, 22
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\config\layout.ts", "TypeScript", 0, 0, 23, 0, 0, 0, 10, 3, 36
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\config\white-list.ts", "TypeScript", 0, 0, 2, 0, 0, 0, 1, 2, 5
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\constants\cacheKey.ts", "TypeScript", 0, 0, 7, 0, 0, 0, 1, 3, 11
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\directives\index.ts", "TypeScript", 0, 0, 5, 0, 0, 0, 1, 2, 8
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\directives\permission\index.ts", "TypeScript", 0, 0, 19, 0, 0, 0, 1, 2, 22
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\hooks\useFetchSelect.ts", "TypeScript", 0, 0, 40, 0, 0, 0, 4, 10, 54
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\hooks\useFullscreenLoading.ts", "TypeScript", 0, 0, 47, 0, 0, 0, 12, 5, 64
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\hooks\usePagination.ts", "TypeScript", 0, 0, 32, 0, 0, 0, 4, 8, 44
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\hooks\useState.ts", "TypeScript", 0, 0, 9, 0, 0, 0, 0, 10, 19
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\hooks\useTheme.ts", "TypeScript", 0, 0, 40, 0, 0, 0, 5, 10, 55
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\icons\index.ts", "TypeScript", 0, 0, 6, 0, 0, 0, 0, 2, 8
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\icons\svg\404.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 1, 2
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\icons\svg\bug.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 1, 2
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\icons\svg\component.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\icons\svg\dashboard.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 1, 2
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\icons\svg\fullscreen-exit.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 1, 2
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\icons\svg\fullscreen.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 1, 2
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\icons\svg\link.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 1, 2
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\icons\svg\lock.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 1, 2
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\icons\svg\menu.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 1, 2
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\icons\svg\unocss.svg", "XML", 0, 0, 0, 0, 0, 11, 0, 1, 12
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\layout\components\AppMain.vue", "vue", 43, 0, 0, 0, 0, 0, 0, 7, 50
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\layout\components\Breadcrumb\index.vue", "vue", 64, 0, 0, 0, 0, 0, 0, 11, 75
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\layout\components\Hamburger\index.vue", "vue", 28, 0, 0, 0, 0, 0, 0, 6, 34
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\layout\components\NavigationBar\index.vue", "vue", 113, 0, 0, 0, 0, 0, 0, 6, 119
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\layout\components\RightPanel\index.vue", "vue", 40, 0, 0, 0, 0, 0, 0, 5, 45
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\layout\components\Settings\index.vue", "vue", 63, 0, 0, 0, 0, 0, 0, 4, 67
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\layout\components\Sidebar\SidebarItem.vue", "vue", 117, 0, 0, 0, 0, 0, 0, 10, 127
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\layout\components\Sidebar\SidebarItemLink.vue", "vue", 17, 0, 0, 0, 0, 0, 0, 3, 20
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\layout\components\Sidebar\SidebarLogo.vue", "vue", 49, 0, 0, 0, 0, 0, 0, 4, 53
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\layout\components\Sidebar\index.vue", "vue", 123, 0, 0, 0, 0, 0, 0, 14, 137
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\layout\components\TagsView\ScrollPane.vue", "vue", 146, 0, 0, 0, 0, 0, 0, 15, 161
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\layout\components\TagsView\index.vue", "vue", 248, 0, 0, 0, 0, 0, 0, 21, 269
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\layout\components\index.ts", "TypeScript", 0, 0, 6, 0, 0, 0, 0, 1, 7
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\layout\hooks\useResize.ts", "TypeScript", 0, 0, 41, 0, 0, 0, 2, 9, 52
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\layout\index.vue", "vue", 145, 0, 0, 0, 0, 0, 0, 18, 163
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\main.ts", "TypeScript", 0, 0, 20, 0, 0, 0, 6, 4, 30
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\plugins\element-plus-icon\index.ts", "TypeScript", 0, 0, 7, 0, 0, 0, 1, 2, 10
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\plugins\element-plus\index.ts", "TypeScript", 0, 0, 5, 0, 0, 0, 1, 2, 8
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\plugins\index.ts", "TypeScript", 0, 0, 9, 0, 0, 0, 0, 2, 11
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\plugins\vxe-table\index.ts", "TypeScript", 0, 0, 48, 0, 0, 0, 15, 4, 67
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\router\index.ts", "TypeScript", 0, 0, 236, 0, 0, 0, 10, 7, 253
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\router\permission.ts", "TypeScript", 0, 0, 55, 0, 0, 0, 13, 4, 72
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\service\ClientOrderService.ts", "TypeScript", 0, 0, 30, 0, 0, 0, 0, 7, 37
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\service\ClientService.ts", "TypeScript", 0, 0, 30, 0, 0, 0, 0, 6, 36
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\service\LeaseService.ts", "TypeScript", 0, 0, 20, 0, 0, 0, 0, 5, 25
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\service\PostService.ts", "TypeScript", 0, 0, 17, 0, 0, 0, 0, 6, 23
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\service\RentInfoService.ts", "TypeScript", 0, 0, 61, 0, 0, 0, 0, 15, 76
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\service\RoomBookingService.ts", "TypeScript", 0, 0, 51, 0, 0, 0, 0, 10, 61
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\service\RoomService.ts", "TypeScript", 0, 0, 45, 0, 0, 0, 0, 7, 52
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\service\UserSerivce.ts", "TypeScript", 0, 0, 37, 0, 0, 0, 0, 8, 45
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\service\index.ts", "TypeScript", 0, 0, 21, 0, 0, 0, 0, 1, 22
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\store\index.ts", "TypeScript", 0, 0, 3, 0, 0, 0, 0, 3, 6
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\store\modules\app.ts", "TypeScript", 0, 0, 36, 0, 0, 0, 0, 6, 42
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\store\modules\permission.ts", "TypeScript", 0, 0, 50, 0, 0, 0, 1, 7, 58
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\store\modules\settings.ts", "TypeScript", 0, 0, 25, 0, 0, 0, 0, 3, 28
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\store\modules\tags-view.ts", "TypeScript", 0, 0, 76, 0, 0, 0, 11, 8, 95
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\store\modules\user.ts", "TypeScript", 0, 0, 88, 0, 0, 0, 10, 6, 104
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\styles\element-plus.scss", "SCSS", 0, 0, 0, 16, 0, 0, 5, 3, 24
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\styles\index.scss", "SCSS", 0, 0, 0, 37, 0, 0, 6, 8, 51
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\styles\mixins.scss", "SCSS", 0, 0, 0, 7, 0, 0, 0, 1, 8
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\styles\theme\core\element-plus.scss", "SCSS", 0, 0, 0, 17, 0, 0, 2, 2, 21
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\styles\theme\core\error-page.scss", "SCSS", 0, 0, 0, 3, 0, 0, 1, 2, 6
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\styles\theme\core\index.scss", "SCSS", 0, 0, 0, 8, 0, 0, 0, 1, 9
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\styles\theme\core\layout.scss", "SCSS", 0, 0, 0, 55, 0, 0, 6, 6, 67
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\styles\theme\core\login.scss", "SCSS", 0, 0, 0, 7, 0, 0, 1, 2, 10
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\styles\theme\core\other.scss", "SCSS", 0, 0, 0, 6, 0, 0, 2, 2, 10
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\styles\theme\core\vxe-table.scss", "SCSS", 0, 0, 0, 29, 0, 0, 16, 14, 59
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\styles\theme\dark-blue\element-plus.css", "CSS", 0, 0, 0, 0, 18, 0, 10, 2, 30
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\styles\theme\dark-blue\index.scss", "SCSS", 0, 0, 0, 3, 0, 0, 0, 1, 4
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\styles\theme\dark-blue\variables.scss", "SCSS", 0, 0, 0, 7, 0, 0, 8, 2, 17
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\styles\theme\dark\index.scss", "SCSS", 0, 0, 0, 2, 0, 0, 0, 1, 3
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\styles\theme\dark\variables.scss", "SCSS", 0, 0, 0, 7, 0, 0, 8, 2, 17
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\styles\theme\register.scss", "SCSS", 0, 0, 0, 2, 0, 0, 1, 1, 4
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\styles\transition.scss", "SCSS", 0, 0, 0, 20, 0, 0, 3, 3, 26
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\styles\variables.css", "CSS", 0, 0, 0, 0, 26, 0, 8, 2, 36
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\styles\vxe-table.scss", "SCSS", 0, 0, 0, 30, 0, 0, 5, 4, 39
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\types\serviceEntity\Room.ts", "TypeScript", 0, 0, 133, 0, 0, 0, 1, 8, 142
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\types\serviceEntity\Service.ts", "TypeScript", 0, 0, 84, 0, 0, 0, 1, 8, 93
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\types\serviceEntity\lease.ts", "TypeScript", 0, 0, 19, 0, 0, 0, 0, 2, 21
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\types\serviceEntity\page.ts", "TypeScript", 0, 0, 7, 0, 0, 0, 0, 1, 8
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\types\serviceEntity\post.ts", "TypeScript", 0, 0, 51, 0, 0, 0, 0, 6, 57
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\types\serviceEntity\user.ts", "TypeScript", 0, 0, 25, 0, 0, 0, 0, 4, 29
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\utils\Date.ts", "TypeScript", 0, 0, 24, 0, 0, 0, 10, 7, 41
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\utils\cache\cookies.ts", "TypeScript", 0, 0, 11, 0, 0, 0, 1, 3, 15
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\utils\cache\localStorage.ts", "TypeScript", 0, 0, 14, 0, 0, 0, 1, 4, 19
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\utils\index.ts", "TypeScript", 0, 0, 17, 0, 0, 0, 3, 3, 23
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\utils\permission.ts", "TypeScript", 0, 0, 13, 0, 0, 0, 1, 2, 16
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\utils\requestTransform.ts", "TypeScript", 0, 0, 20, 0, 0, 0, 0, 4, 24
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\utils\service.ts", "TypeScript", 0, 0, 91, 0, 0, 0, 16, 5, 112
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\utils\validate.ts", "TypeScript", 0, 0, 21, 0, 0, 0, 0, 4, 25
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\views\Property\Service.vue", "vue", 304, 0, 0, 0, 0, 0, 1, 23, 328
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\views\Property\ServiceOrder.vue", "vue", 256, 0, 0, 0, 0, 0, 3, 16, 275
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\views\dashboard\admin\index.vue", "vue", 13, 0, 0, 0, 0, 0, 0, 2, 15
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\views\dashboard\user\index.vue", "vue", 198, 0, 0, 0, 0, 0, 1, 18, 217
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\views\error-page\403.vue", "vue", 9, 0, 0, 0, 0, 0, 0, 2, 11
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\views\error-page\404.vue", "vue", 9, 0, 0, 0, 0, 0, 0, 2, 11
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\views\error-page\components\ErrorPageLayout.vue", "vue", 23, 0, 0, 0, 0, 0, 0, 2, 25
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\views\lease\index.vue", "vue", 244, 0, 0, 0, 0, 0, 3, 16, 263
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\views\login\index.vue", "vue", 177, 0, 0, 0, 0, 0, 0, 6, 183
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\views\permission\components\SwitchRoles.vue", "vue", 32, 0, 0, 0, 0, 0, 0, 5, 37
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\views\permission\directive.vue", "vue", 81, 0, 0, 0, 0, 0, 0, 6, 87
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\views\permission\page.vue", "vue", 19, 0, 0, 0, 0, 0, 0, 4, 23
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\views\post\index.vue", "vue", 270, 0, 0, 0, 0, 0, 0, 22, 292
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\views\redirect\index.vue", "vue", 9, 0, 0, 0, 0, 0, 0, 4, 13
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\views\rent\appointment\index.vue", "vue", 238, 0, 0, 0, 0, 0, 1, 17, 256
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\views\rent\rentOrder\index.vue", "vue", 267, 0, 0, 0, 0, 0, 3, 14, 284
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\views\rent\room\index.vue", "vue", 317, 0, 0, 0, 0, 0, 1, 24, 342
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\views\table\element-plus\index.vue", "vue", 236, 0, 0, 0, 0, 0, 1, 13, 250
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\views\table\vxe-table\index.vue", "vue", 375, 0, 0, 0, 0, 0, 5, 9, 389
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\views\table\vxe-table\tsx\RoleColumnSolts.tsx", "TypeScript React", 0, 9, 0, 0, 0, 0, 0, 3, 12
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\views\table\vxe-table\tsx\StatusColumnSolts.tsx", "TypeScript React", 0, 14, 0, 0, 0, 0, 0, 3, 17
"d:\vscode\test\Apartment-Recommend-System\admin-v1\src\views\unocss\index.vue", "vue", 16, 0, 0, 0, 0, 0, 0, 1, 17
"Total", "-", 4570, 23, 1902, 256, 44, 22, 261, 715, 7793